method_id,method_name,source_sequences,Final_lt_0_50,Final_gte_0_50,Final_gte_0_90,Final_gte_0_95,Final_gte_0_99,Final_gte_0_999,Final_Positive_Rate_0_50,Mean_Final_Prob,Median_Final_Prob,Mean_Length
Chymotrypsin,Chymotrypsin,458355,61376,396979,302666,270605,190972,19568,0.8660950573245628,0.8337826132774353,0.9791080951690674,8.051250668150233
Pepsin,Pepsin (pH=1.3),437396,94781,342615,231564,201903,134399,13631,0.7833062030745594,0.7519110441207886,0.9253166913986206,9.415362737656494
Thermolysin,Thermolysin,431224,59078,372146,293060,267570,201395,21441,0.8629992764781181,0.8356747031211853,0.9864200353622437,7.73103537836484
Trypsin,Trypsin,386104,54647,331457,240405,210084,139504,13919,0.858465594762033,0.8218479752540588,0.9663695693016052,10.0126572115285
Papain,Papain,336030,97663,238367,169386,150928,107481,19259,0.7093622593220843,0.7003645300865173,0.9047491550445557,6.742796774097551
ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),313149,24855,288294,248521,232029,186064,34154,0.920628838029181,0.8988829255104065,0.9951533079147339,7.039965000686574
ProteinaseK,Proteinase K,188918,30535,158383,108818,95789,66760,7363,0.8383690278321811,0.8008613586425781,0.9535549283027649,6.408653489873913
ThePap,Thermolysin + Papain,154566,24678,129888,107432,100366,81617,22650,0.8403400489111448,0.825749933719635,0.9926046133041382,6.051097912865702
PepPan,Pepsin + Pancreatic,138379,37413,100966,73631,66964,51493,11381,0.7296338317230215,0.7227020859718323,0.9370158910751343,5.985409635855151
